,SMAPE,MASE,OWA,MAE,RMSE
D1101,2.4816573025524047,1.4579112768037277,1.3062201610945072,116.68588867187502,125.2826119097309
D1102,10.597434612918317,13.20233346296877,15.639627758992503,1029.0199497767858,1032.7232218752204
D1103,0.7167576879555675,0.9663837637015422,0.7828341225216611,70.25156249999989,84.72082293824639
D1104,4.864721862959208,8.200825482753954,6.058790109137363,636.1923270089286,644.5801083873974
D1105,0.8093829014653274,1.1927130345141754,1.101964205972182,96.729282924107,113.0362557872472
D1106,7.064245075175656,13.35602923181363,15.89260535853078,962.8099190848216,965.7267678321429
D1107,2.494588529536676,2.416970509442973,1.5956827416256816,181.3639718191965,189.78046532282087
D1108,1.1774442807800944,1.9669982409249749,1.6492885727796047,181.9703543526787,215.25767855081116
D1109,2.7452974320826367,3.0521318112861744,2.088201795920309,230.15714285714284,273.87062378325373
D1110,3.892309827632548,8.352753209998042,4.9629185248862,602.8243303571429,614.8453777793733
D1111,0.7929719291877505,1.1210262454534712,1.2381844481352626,10.81939208984373,14.567475819471715
D1112,8.33828354979873,7.061641540734901,8.030827606916706,549.0885742187501,570.4302411825435
D1113,16.637317135356387,24.459702829375352,16.32044351596847,1755.8271763392856,1757.678347282341
D1114,9.14109973051539,13.796610783798396,12.508101401709531,1312.639997209821,1318.1886782252652
D1115,41.75519226941954,36.92877938223717,29.315848105065804,3895.783803013393,3898.4490063915023
D1116,4.895809249451882,4.104428580202777,4.596384734713819,359.0355747767856,365.8603448933772
D1117,4.135260708542868,9.365714876393572,5.276509347613109,658.1519531250003,669.7614596097008
D1118,4.354088883507292,7.91876308673529,5.558802433668253,623.4083984375001,633.3139862180099
D1119,1.333704447216199,2.1037773532894013,3.027727781492628,181.7199358258929,196.54552190279557
D1120,3.387573916146948,6.288911505249301,4.565316017368491,525.6672712053571,540.0720508285566
D1121,7.034809399002414,11.462287386605132,11.598490911604156,107.39761718750002,108.12165287583151
D1122,10.631261351205808,11.689010062847762,3.826794689782778,903.3590680803572,1049.78002650378
D1123,1.2611949564596292,0.9033961268189004,1.8440438766764224,71.99513811383927,83.63195115997458
D1124,6.096185790068866,6.351413959984678,4.792632519829386,548.252357700893,560.2107004335344
D1125,3.5646801610933143,6.450795799492016,4.884275292233365,557.0629603794645,569.9914808238262
D1126,10.923591223273514,10.412131820097006,9.1363358346972,100.39528372628352,101.28471528270082
D1127,1.504880445524623,2.042632067849944,1.259371542961516,21.449014369419647,29.794940661514826
D1128,4.1733225508165495,4.433590814558571,3.525726160427636,57.94235944475447,63.263919435600776
D1129,1.7635862128666957,2.182717100521141,2.0130108289121207,23.324100864955376,26.46455806999588
D1130,1.769733147879836,2.4139235362161062,1.5893141465685596,24.10643798828125,26.457982765319542
D1131,18.76376152778244,12.789040104239977,14.817685685540688,187.3237159946987,188.19020685103223
D1132,18.38211660140541,17.328166423935052,14.203910481699396,208.1886690848214,209.2939969103168
D1133,2.227743993081852,2.584521457890456,2.1929797487829017,261.3645368303572,278.5791969084601
D1134,13.933401343779709,9.976625864957384,11.659605654657645,131.718043561663,132.86491245905214
D1135,12.92788148649356,9.408385987811846,7.767368403725326,96.37445207868302,96.7399955144979
D1136,2.3025291784338373,2.297921030792597,1.9687896787275343,28.87497140066961,33.2339452329101
D1137,2.339690527275115,2.8750153933201226,2.1206671570569524,30.502063337053578,35.47817748968382
D1138,9.416717600795366,8.015660126423032,10.873123911892527,105.49107317243302,106.85085960890368
D1139,23.92191716589162,24.94523490516068,18.2490371267045,365.7162866210937,366.9588736553116
D1140,12.512786078063874,9.833429242182069,9.91717298699844,136.5087615094866,137.7631473826126
D1141,1.5882833958880564,2.2384087617279134,1.3434833128951162,26.265897042410725,29.857437018319164
D1142,21.236125214899484,17.9415706216181,25.637380782110636,203.75189034598216,204.50464230818605
D1143,20.959133373446477,16.474936087038397,14.299050054607278,260.62324114118303,261.8323352027978
D1144,27.872422285025237,31.47493212678298,24.24411065857931,3290.5413783482136,3293.980111775218
D1145,20.09578232948399,14.062498696068769,15.95167764446931,262.26550013950884,263.32327399779786
D1146,8.954780733306663,5.3531519891389285,7.22165282538299,82.91948189871651,83.4188983411303
D1147,6.948602535882087,10.456078021760558,5.73664069382389,116.57804338727676,120.62977538820572
D1148,4.535067696236621,3.7857010070505313,4.857512682471555,57.3736701311384,58.12332533603726
D1149,2.571660054053265,2.35251596853624,2.411555081034326,39.00544921875001,45.0692340259524
D1150,2.2282139457277594,2.8334763675610546,2.5696389359561715,35.491931849888374,40.79266695527117
